iter	Passed	Remaining
285	616	1107
286	617	1104
287	619	1101
288	620	1097
289	622	1095
290	624	1091
291	625	1088
292	627	1085
293	628	1081
294	630	1078
295	631	1075
296	633	1072
297	635	1069
298	636	1067
299	638	1063
300	639	1060
301	641	1057
302	643	1054
303	644	1051
304	645	1048
305	647	1045
306	649	1042
307	650	1039
308	652	1036
309	653	1033
310	655	1030
311	656	1027
312	658	1024
313	659	1021
314	661	1018
315	663	1016
316	665	1013
317	666	1010
318	668	1007
319	670	1005
320	671	1002
321	673	999
322	674	996
323	676	993
324	677	990
325	679	988
326	681	985
327	683	983
328	684	980
329	686	977
330	688	975
331	690	972
332	691	970
333	693	967
334	694	964
335	696	962
336	698	959
337	700	957
338	702	954
339	703	952
340	705	949
341	706	946
342	708	944
343	710	942
344	712	939
345	714	937
346	715	934
347	717	931
348	719	929
349	720	926
350	722	924
351	723	921
352	725	918
353	727	916
354	728	913
355	730	911
356	732	908
357	733	905
358	735	903
359	737	900
360	738	898
361	740	895
362	742	893
363	743	891
364	745	888
365	747	885
366	748	883
367	750	881
368	752	878
369	753	875
370	755	873
371	757	871
372	758	868
373	760	866
374	762	864
375	764	861
376	765	859
377	767	856
378	768	854
379	770	852
380	772	849
381	774	847
382	776	845
383	777	842
384	779	840
385	781	838
386	783	835
387	784	832
388	786	830
389	787	828
390	789	825
391	790	822
392	792	820
393	793	817
394	795	815
395	797	813
396	798	810
397	800	808
398	802	806
399	804	804
400	805	801
401	807	799
402	809	797
403	810	794
404	812	792
405	813	789
406	815	787
407	817	785
408	819	783
409	821	781
410	822	778
411	824	776
412	825	773
413	827	771
414	828	769
415	830	766
416	832	764
417	833	762
418	835	759
419	837	757
420	839	755
421	840	753
422	842	750
423	843	748
424	845	745
425	847	743
426	848	741
427	850	739
428	852	736
429	853	734
430	855	732
431	857	730
432	858	727
433	860	725
434	862	723
435	864	721
436	865	719
437	867	717
438	869	714
439	871	712
440	872	710
441	874	707
442	875	705
443	877	703
444	879	701
445	880	699
446	882	696
447	884	694
448	885	692
449	887	690
450	888	687
451	890	685
452	892	683
453	894	681
454	895	679
455	897	676
456	898	674
457	900	672
458	902	670
459	903	667
460	905	665
461	907	663
462	908	661
463	910	659
464	912	657
465	913	654
466	915	652
467	916	650
468	918	648
469	920	646
470	922	644
471	924	642
472	926	640
473	928	638
474	929	636
475	931	634
476	933	632
